N,P,K,pH,Rainfall(mm),Temperature(°C),Humidity(%),SoilType,Region,Season,Crop,SoilOrganicCarbon(%),Altitude(m),IrrigationAvailability,WindSpeed(km/h),SoilMoisture(%),WaterTableDepth(m),HistoricalYield(t/ha)
109,22,21,5.86,216.0,22.6,77.6,Sandy,Andhra Pradesh,Zaid,Rice,2.82,2599.0,No,10.2,22.8,27.2,6.86
7,30,124,4.4,171.1,33.7,60.1,Peaty,Bihar,Kharif,Sugarcane,2.1,1933.0,Yes,24.9,16.6,3.5,6.78
78,39,39,7.84,119.6,37.1,41.3,Peaty,Tamil Nadu,Rabi,Barley,2.71,39.0,No,8.7,30.8,27.9,7.3
12,61,198,6.76,255.6,22.4,72.5,Silty,Bihar,Rabi,Bajra,2.49,909.0,Yes,26.4,42.1,2.1,4.87
0,19,114,4.3,244.1,29.9,74.6,Clay,Tamil Nadu,Kharif,Wheat,0.78,2750.0,No,23.2,5.8,16.5,8.24
68,137,146,4.65,157.1,28.4,58.3,Silty,Andhra Pradesh,Zaid,Wheat,2.15,1627.0,Yes,2.2,17.0,28.1,2.02
5,39,17,4.91,66.9,37.1,71.8,Clay,Bihar,Kharif,Bajra,2.77,1784.0,Yes,3.3,14.7,4.8,3.35
0,131,110,7.72,83.5,37.9,60.9,Loamy,Punjab,Rabi,Wheat,2.6,1127.0,Yes,29.0,5.0,18.5,2.83
48,94,41,4.46,57.8,36.5,48.9,Loamy,Bihar,Rabi,Rice,0.63,733.0,Yes,1.1,37.8,24.5,7.46
125,36,190,7.29,61.7,37.2,70.9,Silty,Bihar,Rabi,Sugarcane,0.85,2822.0,Yes,8.4,36.3,19.2,6.17
38,43,11,4.16,254.1,28.7,49.0,Loamy,West Bengal,Kharif,Pulses,2.0,1701.0,No,3.8,35.1,8.4,7.37
122,108,142,7.84,204.5,38.0,88.9,Sandy,Punjab,Zaid,Sugarcane,1.53,629.0,No,2.8,48.7,20.3,9.93
43,138,202,4.45,150.7,27.1,55.2,Clay,Gujarat,Zaid,Maize,2.79,542.0,Yes,11.5,19.6,27.2,5.08
26,44,87,4.55,284.6,31.7,71.8,Clay,Maharashtra,Zaid,Cotton,1.02,2290.0,Yes,17.1,25.2,6.2,5.98
19,95,48,6.92,132.3,21.0,49.7,Loamy,Maharashtra,Rabi,Rice,0.33,2876.0,No,23.0,15.6,12.8,7.74
98,119,140,6.03,269.4,23.0,89.8,Silty,Tamil Nadu,Zaid,Sugarcane,0.58,332.0,Yes,28.8,11.8,5.0,3.94
31,30,122,5.46,126.0,21.9,60.4,Peaty,Gujarat,Kharif,Bajra,1.41,2928.0,No,28.1,37.7,1.7,6.97
135,130,37,7.72,91.6,31.5,52.4,Peaty,Tamil Nadu,Kharif,Wheat,0.79,1444.0,No,9.5,29.0,19.6,8.48
99,41,165,6.48,219.6,23.1,86.7,Chalky,Andhra Pradesh,Kharif,Sugarcane,1.66,213.0,No,2.3,11.0,26.2,5.82
60,36,55,7.64,251.7,36.3,80.8,Loamy,Punjab,Zaid,Barley,0.33,111.0,No,22.7,22.7,23.7,3.49
117,118,144,4.6,51.5,27.4,83.0,Peaty,Tamil Nadu,Rabi,Jowar,2.1,2031.0,No,13.3,13.6,9.3,4.16
31,90,10,7.27,74.0,25.4,85.6,Loamy,Maharashtra,Zaid,Sugarcane,1.7,1124.0,Yes,2.0,40.0,10.7,2.22
118,97,192,6.76,151.0,38.9,62.0,Loamy,West Bengal,Kharif,Bajra,2.75,711.0,Yes,7.8,34.5,21.5,9.55
115,104,98,6.91,232.2,22.6,56.4,Chalky,Andhra Pradesh,Rabi,Jowar,0.71,1457.0,Yes,6.4,28.1,27.5,5.46
15,11,109,4.56,250.2,24.6,69.7,Clay,Andhra Pradesh,Kharif,Pulses,2.14,127.0,No,24.8,48.4,8.0,4.66
49,108,18,8.0,263.0,34.8,71.4,Silty,Maharashtra,Kharif,Barley,2.88,952.0,Yes,10.2,49.2,27.4,5.79
46,86,70,6.22,201.1,28.4,76.6,Clay,Maharashtra,Kharif,Maize,0.65,342.0,Yes,7.5,15.1,20.2,7.15
44,18,159,7.17,164.6,30.7,41.5,Clay,Bihar,Kharif,Jowar,1.06,1636.0,Yes,4.4,29.4,11.1,2.63
66,88,54,6.31,151.3,23.1,87.1,Clay,Gujarat,Rabi,Bajra,1.84,1765.0,Yes,24.2,22.1,1.2,2.49
86,67,24,4.42,152.3,31.3,75.9,Silty,West Bengal,Rabi,Wheat,1.24,1693.0,Yes,28.7,33.5,1.4,1.16
8,70,24,7.69,139.5,33.6,71.5,Peaty,Andhra Pradesh,Kharif,Sugarcane,0.76,121.0,Yes,20.3,27.0,7.5,4.03
89,14,184,8.28,73.7,22.8,75.7,Clay,Bihar,Rabi,Sugarcane,2.73,1983.0,Yes,15.9,19.4,16.5,2.38
80,86,91,7.7,74.2,27.0,73.6,Clay,Punjab,Kharif,Rice,1.58,1663.0,No,8.3,31.1,24.1,1.77
134,46,157,4.49,265.7,31.6,70.5,Clay,Gujarat,Rabi,Wheat,2.24,1152.0,No,28.1,16.3,21.4,7.86
85,76,117,8.01,295.4,31.4,60.7,Sandy,Andhra Pradesh,Kharif,Bajra,1.9,2230.0,Yes,6.5,43.7,13.5,3.69
6,59,136,4.83,164.1,24.6,48.0,Sandy,Punjab,Kharif,Rice,2.58,2488.0,No,10.4,12.6,8.8,8.27
4,129,172,6.58,92.3,28.2,82.9,Silty,Gujarat,Zaid,Pulses,0.89,2194.0,No,1.0,35.9,27.6,2.88
101,90,35,6.95,131.0,34.3,49.4,Silty,Tamil Nadu,Kharif,Maize,0.99,930.0,No,8.5,12.6,15.1,7.45
137,8,117,8.35,55.4,25.7,78.4,Peaty,Maharashtra,Kharif,Sugarcane,2.88,951.0,Yes,13.2,42.7,4.4,3.08
50,15,59,4.27,261.6,40.0,55.5,Peaty,Gujarat,Kharif,Wheat,2.14,1712.0,No,15.7,21.8,4.5,6.78
136,124,54,5.03,223.1,26.3,70.4,Chalky,West Bengal,Rabi,Bajra,0.68,97.0,Yes,21.8,37.9,12.0,7.59
8,47,166,4.38,103.2,34.2,44.7,Sandy,Maharashtra,Kharif,Barley,2.93,1253.0,No,20.0,28.4,7.7,7.15
114,33,178,6.62,257.3,38.1,66.3,Loamy,Andhra Pradesh,Kharif,Cotton,1.31,1678.0,Yes,0.9,11.6,23.6,1.75
47,106,55,7.05,238.0,36.3,55.8,Peaty,Gujarat,Zaid,Sugarcane,0.78,2270.0,Yes,25.0,30.7,8.9,5.93
79,19,118,4.1,262.4,22.2,66.2,Loamy,West Bengal,Zaid,Cotton,1.73,1390.0,No,9.9,25.5,25.6,9.08
71,54,88,4.88,234.9,34.0,79.7,Chalky,Tamil Nadu,Kharif,Pulses,2.49,2629.0,No,25.4,13.9,17.8,9.9
130,124,193,5.05,251.6,31.0,83.6,Clay,Gujarat,Zaid,Wheat,0.69,368.0,Yes,3.5,32.4,15.4,7.91
41,77,96,8.13,75.1,27.1,45.4,Sandy,Punjab,Zaid,Sugarcane,1.29,2434.0,No,2.0,38.4,26.8,6.99
6,92,98,4.61,184.8,27.5,53.7,Peaty,Tamil Nadu,Kharif,Barley,2.35,89.0,No,4.5,7.2,17.5,9.18
115,113,53,8.27,289.2,36.7,70.8,Clay,Tamil Nadu,Kharif,Jowar,1.32,533.0,Yes,27.7,14.3,12.1,5.02
71,99,84,7.44,55.9,30.1,73.3,Sandy,Tamil Nadu,Rabi,Cotton,0.85,2404.0,No,27.4,7.8,9.7,2.82
96,27,132,5.6,261.9,22.7,61.0,Loamy,Gujarat,Kharif,Jowar,2.56,2309.0,No,20.4,23.7,21.1,3.13
37,73,151,7.79,87.9,23.6,77.3,Chalky,Tamil Nadu,Rabi,Jowar,1.54,282.0,Yes,24.2,28.7,27.1,7.85
28,122,175,5.47,270.2,35.6,87.9,Peaty,West Bengal,Rabi,Pulses,1.18,1632.0,Yes,18.5,18.5,2.2,6.42
2,65,192,8.46,228.0,27.1,87.2,Silty,Bihar,Kharif,Bajra,1.45,1317.0,No,10.5,17.3,16.9,5.82
127,64,133,6.94,287.7,28.1,67.9,Peaty,Punjab,Zaid,Cotton,2.01,1591.0,No,10.1,47.6,25.5,7.25
87,130,124,4.52,253.4,29.2,51.5,Silty,Tamil Nadu,Kharif,Rice,1.75,1620.0,No,22.0,13.7,7.1,2.1
17,114,143,4.63,156.5,34.4,64.9,Chalky,Andhra Pradesh,Kharif,Rice,1.58,1013.0,Yes,8.8,9.1,28.8,6.47
129,70,17,8.3,265.1,37.2,65.3,Chalky,Punjab,Kharif,Sugarcane,1.59,2724.0,Yes,17.6,20.0,25.6,6.38
67,60,187,8.44,261.7,25.2,63.8,Chalky,Andhra Pradesh,Kharif,Sugarcane,0.86,2438.0,No,1.7,18.3,9.9,1.89
1,67,34,6.34,191.4,30.5,59.2,Clay,Bihar,Rabi,Cotton,0.33,2114.0,No,27.4,49.5,11.4,1.05
127,51,118,8.44,273.2,21.1,78.6,Sandy,West Bengal,Rabi,Cotton,2.01,1474.0,Yes,2.9,27.3,27.4,8.03
85,75,150,7.9,111.6,29.1,40.2,Loamy,Bihar,Zaid,Sugarcane,1.41,2198.0,No,11.3,12.7,29.6,1.06
30,55,101,4.48,242.5,36.0,56.7,Loamy,Gujarat,Rabi,Wheat,2.34,1530.0,Yes,26.7,29.2,8.4,8.05
33,23,83,6.14,284.2,26.1,87.1,Chalky,West Bengal,Zaid,Sugarcane,2.88,322.0,No,12.9,23.5,2.6,3.69
137,96,14,5.53,274.9,39.6,54.4,Clay,Punjab,Rabi,Wheat,1.77,105.0,Yes,0.7,24.5,10.8,6.03
67,85,132,5.36,291.4,38.3,77.1,Chalky,Bihar,Zaid,Sugarcane,0.71,967.0,No,2.5,30.8,13.0,6.92
70,32,79,4.45,119.7,21.4,46.7,Sandy,Tamil Nadu,Rabi,Wheat,1.22,1575.0,No,1.7,20.9,5.7,8.01
39,102,175,7.2,65.1,25.6,63.0,Loamy,Bihar,Zaid,Rice,1.14,2009.0,Yes,8.0,16.9,1.6,4.05
19,125,141,5.86,90.6,24.9,51.5,Chalky,Andhra Pradesh,Zaid,Maize,0.29,1938.0,Yes,3.3,9.0,22.4,3.35
49,78,23,4.05,132.2,34.2,54.0,Clay,Bihar,Zaid,Cotton,0.5,2402.0,No,21.0,31.9,26.8,7.01
50,26,105,6.96,130.6,33.5,44.6,Sandy,Punjab,Rabi,Pulses,2.89,2831.0,Yes,0.3,21.5,5.0,4.68
85,101,85,8.44,149.3,28.5,49.7,Clay,Punjab,Rabi,Sugarcane,0.34,176.0,No,5.3,34.5,29.1,8.76
45,95,119,4.31,129.5,20.6,42.1,Chalky,Tamil Nadu,Kharif,Wheat,0.95,2487.0,Yes,10.5,48.1,29.1,7.38
4,125,175,7.03,112.1,36.1,43.4,Loamy,Maharashtra,Zaid,Cotton,2.61,2444.0,Yes,20.7,36.9,7.3,1.73
121,97,110,4.89,57.4,23.7,87.9,Chalky,Punjab,Rabi,Rice,1.22,121.0,No,15.5,21.7,24.8,7.07
97,115,17,7.42,67.8,21.4,81.8,Loamy,Maharashtra,Rabi,Rice,2.48,261.0,No,3.5,27.4,10.3,8.74
49,44,52,7.28,79.8,34.7,65.7,Sandy,West Bengal,Zaid,Jowar,0.43,1541.0,Yes,8.6,40.2,22.2,1.18
97,54,63,4.81,219.4,24.9,76.3,Loamy,Maharashtra,Rabi,Cotton,0.91,739.0,No,22.4,27.6,5.6,4.02
45,140,125,7.41,259.8,26.9,56.3,Chalky,Punjab,Zaid,Wheat,0.88,1519.0,No,28.8,29.9,3.3,6.36
22,72,22,7.78,103.3,21.5,65.2,Sandy,Punjab,Zaid,Bajra,0.59,2145.0,No,27.8,38.6,5.2,9.89
92,105,41,4.01,149.7,25.7,89.7,Sandy,Gujarat,Kharif,Pulses,1.35,2802.0,Yes,3.4,11.6,22.5,5.18
2,36,9,4.36,289.1,30.9,66.7,Clay,Bihar,Kharif,Wheat,1.83,2189.0,No,6.0,28.7,10.8,3.8
75,59,125,5.08,218.0,24.5,70.0,Clay,Andhra Pradesh,Kharif,Rice,1.18,2319.0,No,16.3,5.2,24.9,7.04
70,65,38,4.31,93.6,28.8,84.6,Chalky,Andhra Pradesh,Zaid,Wheat,1.4,1079.0,Yes,11.6,47.8,4.9,9.67
6,114,118,4.45,150.6,21.3,88.7,Clay,Gujarat,Rabi,Pulses,1.39,2250.0,Yes,0.2,16.2,26.7,5.02
66,76,43,5.55,253.8,25.8,66.3,Loamy,Bihar,Zaid,Wheat,1.64,1139.0,Yes,10.9,12.9,24.4,6.82
66,67,176,5.22,118.4,33.9,60.3,Peaty,Punjab,Zaid,Sugarcane,0.79,2595.0,No,18.5,16.7,10.3,7.92
54,73,201,5.83,250.1,30.4,62.7,Chalky,Maharashtra,Rabi,Cotton,0.68,582.0,Yes,25.5,17.4,26.1,6.7
136,51,97,7.43,255.1,24.1,46.1,Silty,Andhra Pradesh,Rabi,Pulses,0.77,228.0,Yes,6.7,36.4,3.5,2.42
38,21,7,4.27,91.5,39.5,42.9,Chalky,Punjab,Kharif,Maize,0.24,2119.0,No,15.4,10.5,17.9,5.48
111,122,181,8.16,71.6,30.7,66.5,Chalky,Tamil Nadu,Zaid,Sugarcane,1.32,1012.0,Yes,4.9,35.3,21.5,8.16
114,105,114,4.82,109.7,36.9,54.2,Sandy,Punjab,Rabi,Bajra,2.76,1335.0,No,10.2,37.2,26.3,7.5
54,115,29,4.79,214.1,23.7,55.6,Chalky,Maharashtra,Zaid,Barley,1.42,2502.0,No,4.4,24.7,29.7,6.52
1,41,21,7.41,248.0,34.4,67.1,Chalky,Tamil Nadu,Kharif,Wheat,0.98,2586.0,No,3.0,38.2,1.2,4.69
61,78,9,6.21,208.3,36.4,87.4,Silty,Punjab,Rabi,Jowar,2.2,1820.0,Yes,2.4,40.7,6.5,1.72
117,117,123,6.25,276.5,23.1,89.7,Chalky,Andhra Pradesh,Kharif,Bajra,2.08,1034.0,No,13.9,49.2,22.6,4.09
13,114,80,8.13,280.6,32.1,52.2,Chalky,Gujarat,Kharif,Jowar,2.25,93.0,Yes,21.7,31.7,17.4,8.94
104,96,60,6.9,216.9,24.5,40.0,Loamy,Gujarat,Rabi,Bajra,2.78,1588.0,No,23.1,16.2,13.7,2.84
21,93,76,8.35,101.8,29.3,71.9,Silty,Maharashtra,Kharif,Rice,1.91,243.0,Yes,6.5,10.5,11.7,5.96
35,66,95,6.04,161.0,27.9,85.5,Sandy,Tamil Nadu,Rabi,Rice,2.91,2265.0,Yes,16.1,17.4,21.4,4.91
101,6,194,4.25,55.4,31.4,60.4,Chalky,Bihar,Zaid,Barley,2.32,1671.0,No,12.7,48.0,22.9,8.05
54,61,130,8.24,244.7,30.0,85.6,Peaty,West Bengal,Kharif,Rice,1.2,2963.0,No,11.7,20.4,27.9,1.95
69,111,108,6.44,298.2,33.6,88.8,Chalky,Punjab,Kharif,Jowar,2.82,642.0,Yes,20.9,13.8,28.2,1.93
18,99,32,5.33,149.1,31.3,68.1,Peaty,Andhra Pradesh,Zaid,Pulses,1.37,608.0,Yes,22.8,34.8,28.0,6.58
121,43,14,6.37,125.3,21.7,84.0,Silty,Gujarat,Rabi,Bajra,1.75,318.0,Yes,8.9,11.6,8.9,1.68
61,61,37,4.69,234.0,31.9,69.4,Sandy,West Bengal,Zaid,Bajra,0.22,386.0,Yes,15.1,17.8,8.1,2.78
20,18,125,4.25,276.4,26.7,53.1,Clay,Bihar,Kharif,Rice,0.96,963.0,Yes,9.2,10.4,28.8,1.98
131,75,150,7.2,93.2,30.3,81.7,Chalky,Punjab,Rabi,Wheat,2.09,594.0,No,5.2,32.6,29.1,4.47
56,109,104,7.67,161.4,38.3,70.5,Silty,Punjab,Rabi,Bajra,0.3,1154.0,Yes,9.7,7.6,6.1,2.89
95,113,17,6.85,145.5,31.5,41.4,Peaty,Andhra Pradesh,Kharif,Sugarcane,0.48,2157.0,Yes,11.0,24.4,1.7,4.24
118,69,139,8.1,179.5,38.4,67.2,Peaty,Tamil Nadu,Kharif,Pulses,0.61,719.0,Yes,1.7,42.2,12.8,7.97
33,133,70,6.91,207.4,38.3,62.6,Clay,Punjab,Zaid,Jowar,2.17,510.0,No,7.7,42.1,26.2,9.02
61,70,49,4.31,85.4,22.5,56.6,Sandy,Maharashtra,Kharif,Barley,2.28,1560.0,Yes,23.6,16.6,2.2,7.13
39,92,12,6.61,52.7,25.4,77.0,Loamy,Punjab,Rabi,Pulses,2.85,1357.0,Yes,7.7,25.6,16.3,7.04
51,90,125,5.97,205.3,25.0,73.9,Peaty,Tamil Nadu,Kharif,Maize,0.36,2490.0,Yes,2.5,45.4,28.0,9.42
66,138,193,6.66,96.5,21.6,81.7,Sandy,West Bengal,Kharif,Barley,0.93,807.0,No,23.5,17.8,3.4,4.07
93,98,26,4.67,206.7,30.8,40.8,Chalky,Andhra Pradesh,Zaid,Wheat,0.94,653.0,No,7.4,23.3,10.8,5.19
54,98,191,5.39,222.8,20.4,46.1,Sandy,Punjab,Zaid,Rice,2.33,818.0,No,4.2,23.2,17.7,3.39
99,29,191,4.2,221.8,23.6,53.9,Loamy,Andhra Pradesh,Zaid,Bajra,1.47,1296.0,No,20.9,12.1,11.8,8.84
14,106,111,7.86,66.1,28.0,53.4,Chalky,West Bengal,Kharif,Bajra,2.17,205.0,No,11.4,37.2,26.1,8.32
13,118,178,5.07,119.5,23.4,80.9,Chalky,Punjab,Rabi,Bajra,0.33,1600.0,No,2.5,12.4,8.5,9.35
50,98,147,6.58,192.3,28.0,89.1,Silty,Punjab,Zaid,Pulses,2.72,2093.0,No,10.4,34.4,16.1,3.77
20,105,136,5.92,218.3,24.1,79.1,Chalky,Andhra Pradesh,Rabi,Maize,2.35,2307.0,No,26.7,36.3,19.1,3.92
139,129,132,4.46,92.7,26.3,48.9,Peaty,Gujarat,Kharif,Rice,1.7,2037.0,Yes,18.4,42.6,14.0,3.57
51,123,20,7.02,189.8,37.5,44.6,Peaty,West Bengal,Kharif,Barley,2.81,814.0,Yes,16.0,27.1,4.6,5.77
49,71,115,7.94,120.4,29.2,70.5,Chalky,Maharashtra,Kharif,Sugarcane,2.74,119.0,Yes,14.8,29.8,3.5,1.25
76,42,103,4.08,291.4,23.2,48.3,Chalky,Gujarat,Kharif,Pulses,1.26,2815.0,Yes,28.6,31.7,28.3,2.57
3,86,148,5.1,292.4,22.9,53.0,Clay,Andhra Pradesh,Kharif,Sugarcane,1.55,612.0,No,19.6,29.9,4.4,9.85
9,98,133,6.49,135.3,29.4,60.3,Clay,Tamil Nadu,Zaid,Jowar,0.23,1590.0,Yes,16.2,36.4,28.7,9.33
122,21,51,4.35,149.2,20.8,83.8,Silty,Punjab,Kharif,Wheat,2.33,2306.0,Yes,5.5,12.1,25.7,9.47
65,43,6,7.2,285.6,39.6,80.8,Clay,Gujarat,Zaid,Jowar,2.8,723.0,No,29.8,40.4,15.0,6.9
100,77,87,7.77,110.0,33.3,73.7,Silty,Gujarat,Rabi,Rice,2.33,2636.0,No,26.8,9.9,4.9,1.42
127,21,179,6.21,188.4,22.4,65.3,Peaty,Gujarat,Zaid,Rice,0.9,1924.0,Yes,6.4,19.4,15.0,2.6
15,58,99,4.11,291.9,34.6,63.8,Chalky,Punjab,Zaid,Jowar,1.82,886.0,No,7.8,44.0,28.0,8.52
74,121,79,8.33,209.5,33.0,65.2,Peaty,Tamil Nadu,Rabi,Pulses,2.98,858.0,No,3.5,6.4,21.8,8.31
14,89,58,8.32,52.3,20.4,77.7,Silty,Maharashtra,Zaid,Wheat,2.82,1329.0,Yes,25.3,28.7,12.5,3.22
123,61,36,6.48,156.4,37.2,80.9,Loamy,Andhra Pradesh,Rabi,Barley,1.4,1600.0,Yes,18.0,31.6,19.6,5.63
125,29,16,4.66,228.7,35.2,76.3,Silty,Maharashtra,Kharif,Cotton,0.8,1853.0,No,22.3,23.9,16.0,4.31
33,133,124,8.19,228.8,38.5,79.4,Silty,Maharashtra,Kharif,Sugarcane,1.45,113.0,No,6.1,19.8,12.2,4.05
91,124,94,8.33,57.3,35.6,85.0,Peaty,Bihar,Zaid,Maize,2.65,1509.0,Yes,25.7,47.6,7.7,4.34
103,136,145,5.19,58.5,30.6,49.3,Chalky,Bihar,Kharif,Jowar,2.84,2221.0,Yes,11.3,13.0,21.0,2.39
113,17,24,6.66,197.7,38.5,66.1,Silty,Maharashtra,Zaid,Bajra,1.12,1455.0,Yes,12.3,12.6,5.5,9.58
2,58,94,5.97,293.9,33.3,55.5,Chalky,Punjab,Rabi,Barley,2.36,822.0,Yes,16.3,43.6,7.8,1.68
54,36,178,6.53,179.8,30.7,41.6,Clay,West Bengal,Rabi,Wheat,0.88,995.0,No,11.2,49.6,12.8,6.31
115,20,117,4.12,190.3,37.9,71.2,Clay,Gujarat,Kharif,Barley,2.95,1679.0,No,16.2,43.0,13.6,1.59
36,20,165,5.72,251.8,30.6,74.1,Sandy,West Bengal,Kharif,Barley,2.3,985.0,Yes,5.2,45.2,20.4,4.11
138,117,111,8.1,64.3,24.6,50.5,Sandy,Andhra Pradesh,Rabi,Wheat,1.36,2680.0,No,23.3,10.5,9.4,1.74
2,44,118,4.42,144.5,33.7,78.0,Clay,Gujarat,Rabi,Barley,2.3,1985.0,Yes,9.4,29.7,22.5,6.21
19,69,25,5.89,70.3,26.3,81.0,Loamy,Punjab,Kharif,Sugarcane,2.99,2040.0,Yes,2.6,21.4,4.2,1.54
70,21,88,7.54,91.3,20.4,89.5,Clay,Maharashtra,Kharif,Sugarcane,1.89,432.0,No,25.7,30.6,20.6,4.31
95,98,193,7.72,112.9,21.0,76.5,Peaty,Punjab,Kharif,Barley,1.59,1615.0,Yes,3.3,39.4,21.7,7.65
131,118,88,4.55,244.0,28.2,66.3,Sandy,Punjab,Rabi,Wheat,2.3,816.0,Yes,25.4,11.5,25.8,2.48
100,95,14,6.35,261.2,31.3,79.6,Chalky,Maharashtra,Kharif,Sugarcane,0.76,224.0,Yes,29.9,15.9,11.4,8.3
74,12,195,4.03,144.9,21.7,84.5,Clay,Bihar,Kharif,Barley,2.16,2988.0,No,29.8,13.5,24.8,3.58
51,7,48,5.89,138.6,34.0,50.1,Peaty,Andhra Pradesh,Rabi,Sugarcane,1.41,1236.0,Yes,2.9,6.4,15.6,8.44
88,10,77,6.33,120.3,34.8,83.3,Loamy,Gujarat,Zaid,Sugarcane,1.69,2251.0,No,26.5,28.6,7.6,4.36
46,39,155,6.24,265.0,39.6,73.5,Sandy,Andhra Pradesh,Kharif,Wheat,2.07,214.0,Yes,11.2,19.5,23.5,6.14
10,95,175,7.46,252.6,23.4,69.2,Silty,Andhra Pradesh,Zaid,Maize,1.38,1581.0,Yes,28.7,48.0,18.6,5.78
132,72,117,7.62,259.1,33.8,70.0,Silty,Bihar,Rabi,Pulses,0.9,1957.0,Yes,28.1,21.7,12.2,9.82
10,76,105,6.52,160.8,25.1,84.9,Peaty,Andhra Pradesh,Kharif,Jowar,2.98,800.0,No,6.2,16.0,17.7,4.52
135,129,174,4.72,198.9,22.9,47.4,Sandy,Tamil Nadu,Kharif,Sugarcane,2.72,1221.0,Yes,23.6,40.5,24.3,5.23
136,10,156,4.97,238.8,28.8,65.9,Chalky,Bihar,Kharif,Jowar,2.97,1396.0,No,29.8,46.0,28.4,1.41
62,50,136,4.4,150.3,28.8,57.1,Silty,Punjab,Kharif,Wheat,2.52,1244.0,Yes,9.3,25.4,15.7,2.7
114,142,31,4.5,242.6,36.8,76.1,Silty,Gujarat,Rabi,Maize,1.06,488.0,Yes,26.2,30.9,25.4,7.54
41,22,179,8.5,215.8,31.2,50.6,Clay,Andhra Pradesh,Rabi,Jowar,0.5,2684.0,No,4.2,48.0,27.7,3.32
128,127,65,4.69,167.7,23.6,74.3,Sandy,Punjab,Kharif,Rice,1.32,560.0,Yes,10.6,33.4,5.1,4.9
95,53,94,5.72,279.9,33.7,76.6,Peaty,Bihar,Rabi,Cotton,0.42,1489.0,No,10.8,38.3,13.3,1.4
6,119,27,5.21,162.4,38.6,71.9,Sandy,Andhra Pradesh,Kharif,Barley,0.54,961.0,Yes,25.0,26.9,26.5,5.36
38,68,57,7.9,225.2,21.8,60.1,Chalky,Tamil Nadu,Rabi,Bajra,2.23,2315.0,Yes,24.7,35.9,21.7,2.38
36,136,32,7.92,82.8,36.7,59.2,Peaty,Andhra Pradesh,Rabi,Pulses,2.12,1745.0,Yes,18.0,49.1,28.1,9.65
28,96,116,4.16,98.2,30.1,50.3,Sandy,Andhra Pradesh,Rabi,Maize,0.58,1940.0,No,25.5,45.7,19.3,7.76
48,22,124,6.88,119.8,29.4,88.1,Chalky,West Bengal,Rabi,Cotton,1.55,1111.0,Yes,24.7,26.9,10.7,6.71
30,87,118,4.39,64.0,24.3,54.8,Sandy,Andhra Pradesh,Kharif,Bajra,2.0,1597.0,Yes,2.6,21.8,19.8,5.64
118,126,107,4.55,116.2,37.7,71.8,Loamy,West Bengal,Rabi,Barley,0.96,2519.0,No,17.7,32.1,8.5,7.24
16,34,101,5.13,58.5,33.9,84.0,Peaty,Tamil Nadu,Rabi,Bajra,0.74,1588.0,Yes,10.4,32.4,2.4,4.01
83,144,154,7.13,235.7,26.3,85.9,Chalky,Tamil Nadu,Zaid,Bajra,2.19,1653.0,Yes,0.7,10.9,16.8,4.84
16,143,80,5.35,123.9,33.7,72.3,Loamy,Bihar,Kharif,Barley,2.97,777.0,Yes,11.9,8.9,5.7,5.74
104,119,121,5.38,227.3,29.1,44.9,Clay,Andhra Pradesh,Kharif,Rice,2.73,1713.0,Yes,3.4,38.8,29.7,4.87
25,28,204,7.19,195.6,30.4,55.4,Clay,Maharashtra,Kharif,Pulses,1.13,612.0,Yes,7.4,19.8,1.5,7.28
24,135,116,6.74,54.3,29.0,64.2,Loamy,Punjab,Kharif,Rice,1.36,640.0,No,1.9,20.5,24.6,3.12
83,143,202,8.31,99.3,26.1,55.6,Peaty,Maharashtra,Kharif,Rice,2.58,2617.0,Yes,14.9,7.2,21.0,4.68
12,35,133,7.84,176.6,22.3,72.8,Clay,Punjab,Rabi,Bajra,0.8,2747.0,Yes,16.4,27.7,11.4,2.4
71,119,74,7.82,124.2,26.9,64.7,Loamy,Bihar,Zaid,Sugarcane,0.47,1673.0,No,15.6,38.6,2.4,2.51
119,112,161,5.89,215.2,23.3,60.7,Chalky,Tamil Nadu,Zaid,Cotton,0.5,2699.0,No,26.4,8.1,20.0,2.55
132,121,113,6.88,178.0,31.5,80.1,Peaty,West Bengal,Kharif,Wheat,0.98,588.0,No,29.4,22.1,16.7,7.78
35,99,182,4.31,121.5,21.2,51.3,Chalky,Gujarat,Zaid,Cotton,2.89,2869.0,Yes,10.1,14.0,27.6,6.63
134,104,151,6.21,152.8,27.5,72.4,Peaty,Gujarat,Rabi,Jowar,2.02,372.0,Yes,16.7,13.2,6.3,3.72
102,68,21,4.61,265.0,36.2,81.9,Sandy,Tamil Nadu,Rabi,Jowar,2.6,1356.0,No,11.6,26.1,28.5,5.8
92,99,204,5.75,99.6,37.8,79.2,Clay,Tamil Nadu,Rabi,Bajra,0.52,975.0,Yes,20.0,22.7,26.9,4.06
91,121,153,6.17,93.9,22.5,44.7,Sandy,West Bengal,Kharif,Rice,2.09,305.0,No,3.0,39.0,26.3,5.41
62,119,89,7.89,56.6,36.3,84.8,Silty,Maharashtra,Rabi,Maize,2.21,2207.0,Yes,3.1,21.2,9.8,6.3
115,71,116,6.37,118.7,23.0,47.7,Chalky,Tamil Nadu,Kharif,Maize,1.76,2426.0,Yes,26.7,22.1,8.1,9.8
50,132,158,8.17,116.7,26.7,53.8,Clay,West Bengal,Kharif,Sugarcane,1.84,751.0,Yes,29.1,14.8,3.6,1.65
